model,layer,beta,condition,seeds,accuracy,valid_rate,prediction_changed_rate,mean_expected_count_shift,mean_direction_aligned_shift,mean_generated_shift_valid_only,mean_endpoint_probe_shift,mean_relative_state_norm
Qwen3-8B,3,1.0,ridge,10,1.0,1.0,0.0,-7.120518410324017e-05,-7.120518410324017e-05,0.0,3.2183786392211915,0.03994051854234857
Qwen3-8B,3,1.0,random,10,1.0,1.0,0.0,0.00012604231726385252,0.00012604231726385252,0.0,0.006084080459550023,0.039995527384917955
Qwen3-8B,4,-1.0,ridge,10,1.0,1.0,0.0,0.00019646527735699414,-0.00019646527735699414,0.0,-1.6057394862174987,0.025992516370972357
Qwen3-8B,4,-1.0,random,10,1.0,1.0,0.0,0.00010668164816607373,-0.00010668164816607373,0.0,-0.002010714169591665,0.02597098514049479
Qwen3-8B,4,1.0,ridge,10,1.0,1.0,0.0,-0.00014891639572405245,-0.00014891639572405245,0.0,1.606118905544281,0.025990163065821786
Qwen3-8B,4,1.0,random,10,1.0,1.0,0.0,0.0003258961872737665,0.0003258961872737665,0.0,0.0021853208541870116,0.025971799375616313
Qwen3-8B,5,-1.0,ridge,10,1.0,1.0,0.0,0.0003768920026216094,-0.0003768920026216094,0.0,-1.7163878321647643,0.02932806235349656
Qwen3-8B,5,-1.0,random,10,1.0,1.0,0.0,0.00021180732712999806,-0.00021180732712999806,0.0,0.0011562850326299668,0.029366177119631375
Qwen3-8B,5,1.0,ridge,10,1.0,1.0,0.0,9.235225784687273e-06,9.235225784687273e-06,0.0,1.7154846906661987,0.029316872549555673
Qwen3-8B,5,1.0,random,10,1.0,1.0,0.0,6.796548127612212e-05,6.796548127612212e-05,0.0,-0.001316909771412611,0.029366382058934864
Qwen3-8B,6,-1.0,ridge,10,1.0,1.0,0.0,0.0004204862403532683,-0.0004204862403532683,0.0,-1.4241682052612306,0.02417575313136127
Qwen3-8B,6,-1.0,random,10,1.0,1.0,0.0,-2.6566852570741872e-05,2.6566852570741872e-05,0.0,0.0022985958494246006,0.024185901936112777
Qwen3-8B,6,1.0,ridge,10,1.0,1.0,0.0,0.00014151994937012803,0.00014151994937012803,0.0,1.4244887113571167,0.02417541602312852
Qwen3-8B,6,1.0,random,10,1.0,1.0,0.0,0.0003192784789694425,0.0003192784789694425,0.0,-0.00278626699000597,0.02418498476011557
Qwen3-8B,7,-1.0,ridge,10,1.0,1.0,0.0,0.0001658502899407388,-0.0001658502899407388,0.0,-1.362429177761078,0.028222266798154334
Qwen3-8B,7,-1.0,random,10,1.0,1.0,0.0,0.00014278891637324874,-0.00014278891637324874,0.0,0.0006395815871655941,0.028189698051354784
Qwen3-8B,7,1.0,ridge,10,1.0,1.0,0.0,0.00016275499945166415,0.00016275499945166415,0.0,1.3621516704559327,0.028219983751835348
Qwen3-8B,7,1.0,random,10,1.0,1.0,0.0,-0.000967652572681299,-0.000967652572681299,0.0,-0.0007753487676382065,0.028188436866747622
Qwen3-8B,8,-1.0,ridge,10,1.0,1.0,0.0,0.00018283955317475176,-0.00018283955317475176,0.0,-1.6053701996803285,0.038649540113894446
Qwen3-8B,8,-1.0,random,10,1.0,1.0,0.0,0.00012246539403695244,-0.00012246539403695244,0.0,0.006258077546954155,0.038632748363241584
Qwen3-8B,8,1.0,ridge,10,1.0,1.0,0.0,0.00020538373263256915,0.00020538373263256915,0.0,1.6050561904907226,0.03864982177410453
Qwen3-8B,8,1.0,random,10,1.0,1.0,0.0,-8.555434220283153e-05,-8.555434220283153e-05,0.0,-0.005685136839747429,0.03863237140842191
Qwen3-8B,9,-1.0,ridge,10,1.0,1.0,0.0,0.00034554123914363186,-0.00034554123914363186,0.0,-1.364419734477997,0.04595417677542589
Qwen3-8B,9,-1.0,random,10,1.0,1.0,0.0,-0.0002689117052168122,0.0002689117052168122,0.0,-0.0018286538310348988,0.04585658906939146
Qwen3-8B,9,1.0,ridge,10,1.0,1.0,0.0,-0.0008549498985241488,-0.0008549498985241488,0.0,1.3641069769859313,0.045952899989177856
Qwen3-8B,9,1.0,random,10,1.0,1.0,0.0,0.0003133965404576333,0.0003133965404576333,0.0,0.0019037745893001556,0.045855138769924926
Qwen3-8B,10,-1.0,ridge,10,1.0,1.0,0.0,0.00010083705501640061,-0.00010083705501640061,0.0,-1.5200056910514832,0.04386623971379336
Qwen3-8B,10,-1.0,random,10,1.0,1.0,0.0,0.0001812237560344432,-0.0001812237560344432,0.0,-0.0012421760475263,0.04397057971792619
