model,layer,beta,condition,seeds,accuracy,valid_rate,prediction_changed_rate,mean_expected_count_shift,mean_direction_aligned_shift,mean_generated_shift_valid_only,mean_endpoint_probe_shift,mean_relative_state_norm
Gemma4-E4B,8,-1.0,ridge,10,1.0,1.0,0.0,-0.003494577609497185,0.003494577609497185,0.0,-2.720596694946289,0.044216731535573886
Gemma4-E4B,8,-1.0,random,10,0.2,1.0,0.8,-0.7893304155409295,0.7893304155409295,-0.8,-0.00380791905336082,0.04424368304404458
Gemma4-E4B,8,1.0,ridge,10,1.0,1.0,0.0,0.0011254290072874261,0.0011254290072874261,0.0,2.7208301782608033,0.04422394616929169
Gemma4-E4B,8,1.0,random,10,0.3,1.0,0.7,-0.7047332637361438,-0.7047332637361438,-0.7,0.003899544547311962,0.04424253846414707
Gemma4-E4B,9,-1.0,ridge,10,1.0,1.0,0.0,4.440921242623297e-05,-4.440921242623297e-05,0.0,-2.7127713203430175,0.033135323818183265
Gemma4-E4B,9,-1.0,random,10,0.0,1.0,1.0,-0.9887457829561486,0.9887457829561486,-1.0,0.01343005858361721,0.03312288493158322
Gemma4-E4B,9,1.0,ridge,10,1.0,1.0,0.0,0.0013987900864115056,0.0013987900864115056,0.0,2.713460683822632,0.03314373174450962
Gemma4-E4B,9,1.0,random,10,0.3,1.0,0.7,-0.6854368518533438,-0.6854368518533438,-0.7,-0.0140249190852046,0.033124019541199895
Gemma4-E4B,10,-1.0,ridge,10,1.0,1.0,0.0,-0.00027807511909019313,0.00027807511909019313,0.0,-2.169951391220093,0.024573078210760553
Gemma4-E4B,10,-1.0,random,10,0.7,1.0,0.3,-0.34590234284204396,0.34590234284204396,-0.3,0.00044322125613689424,0.024591431369872026
Gemma4-E4B,10,1.0,ridge,10,1.0,1.0,0.0,-0.0014771731131042465,-0.0014771731131042465,0.0,2.1708938598632814,0.024575930917554768
Gemma4-E4B,10,1.0,random,10,0.3,1.0,0.7,-0.7156750221351638,-0.7156750221351638,-0.7,-0.0009111977182328701,0.024590878919123815
Gemma4-E4B,11,-1.0,ridge,10,1.0,1.0,0.0,-0.009045713034809033,0.009045713034809033,0.0,-1.7995372653007506,0.030411159037085373
Gemma4-E4B,11,-1.0,random,10,0.9,1.0,0.1,-0.09101308648426994,0.09101308648426994,-0.1,-0.002212546393275261,0.030414372224760445
Gemma4-E4B,11,1.0,ridge,10,1.0,1.0,0.0,-0.0016867406996311728,-0.0016867406996311728,0.0,1.7993396639823913,0.03037534326392141
Gemma4-E4B,11,1.0,random,10,0.9,1.0,0.1,-0.09785753971302676,-0.09785753971302676,-0.1,0.0024970216676592828,0.030415339983952384
Gemma4-E4B,12,-1.0,ridge,10,1.0,1.0,0.0,-0.010353248050802621,0.010353248050802621,0.0,-1.3392656326293946,0.021742814878305143
Gemma4-E4B,12,-1.0,random,10,1.0,1.0,0.0,0.005790840842360012,-0.005790840842360012,0.0,-0.006116024311631918,0.0217105458754726
Gemma4-E4B,12,1.0,ridge,10,1.0,1.0,0.0,0.005200909277329568,0.005200909277329568,0.0,1.3394883751869202,0.02174292351381608
Gemma4-E4B,12,1.0,random,10,1.0,1.0,0.0,0.005812113245619787,0.005812113245619787,0.0,0.005916327610611916,0.02171033370231148
Gemma4-E4B,13,-1.0,ridge,10,1.0,1.0,0.0,-0.010304643382323554,0.010304643382323554,0.0,-1.4841469764709472,0.026234843346411692
Gemma4-E4B,13,-1.0,random,10,1.0,1.0,0.0,-0.015418115720722669,0.015418115720722669,0.0,-0.008818934671580791,0.026155795080552907
Gemma4-E4B,13,1.0,ridge,10,1.0,1.0,0.0,0.006599570783799224,0.006599570783799224,0.0,1.4840463876724244,0.02622139652376986
Gemma4-E4B,13,1.0,random,10,1.0,1.0,0.0,0.00011269935561157851,0.00011269935561157851,0.0,0.008650242816656828,0.026136375664681626
Gemma4-E4B,14,-1.0,ridge,10,1.0,1.0,0.0,-0.01545436914132572,0.01545436914132572,0.0,-1.3000064611434936,0.027526791970632857
Gemma4-E4B,14,-1.0,random,10,1.0,1.0,0.0,0.0034173666305041374,-0.0034173666305041374,0.0,0.0012519523035734892,0.0275259751113812
Gemma4-E4B,14,1.0,ridge,10,1.0,1.0,0.0,0.006093372793454765,0.006093372793454765,0.0,1.2996015906333924,0.027525991158015396
Gemma4-E4B,14,1.0,random,10,1.0,1.0,0.0,-0.0035519860049878283,-0.0035519860049878283,0.0,-0.0011650579515844583,0.02752625999433842
Gemma4-E4B,15,-1.0,ridge,10,1.0,1.0,0.0,-0.011572688202820336,0.011572688202820336,0.0,-1.1339707493782043,0.02444521716016144
Gemma4-E4B,15,-1.0,random,10,1.0,1.0,0.0,-0.01541106846110667,0.01541106846110667,0.0,-0.007212354708462954,0.02440262923189501
Gemma4-E4B,15,1.0,ridge,10,1.0,1.0,0.0,0.005641645102487036,0.005641645102487036,0.0,1.1340290546417235,0.02444459191773429
Gemma4-E4B,15,1.0,random,10,1.0,1.0,0.0,0.002878619044886355,0.002878619044886355,0.0,0.00725062326528132,0.024385574996720644
Gemma4-E4B,16,-1.0,ridge,10,1.0,1.0,0.0,-0.011542632030904576,0.011542632030904576,0.0,-1.350562846660614,0.0366723423586151
Gemma4-E4B,16,-1.0,random,10,1.0,1.0,0.0,0.0040477966887158875,-0.0040477966887158875,0.0,0.001689621713012457,0.03684475834828806
Gemma4-E4B,16,1.0,ridge,10,1.0,1.0,0.0,0.0038730974318268883,0.0038730974318268883,0.0,1.3503953218460083,0.03666916213637138
Gemma4-E4B,16,1.0,random,10,1.0,1.0,0.0,-0.03968716010137867,-0.03968716010137867,0.0,-0.0016356019303202629,0.03676086896169913
Gemma4-E4B,17,-1.0,ridge,10,1.0,1.0,0.0,-0.0016738954089276614,0.0016738954089276614,0.0,-1.2536146759986877,0.05318317808234659
Gemma4-E4B,17,-1.0,random,10,1.0,1.0,0.0,-0.004330065858040966,0.004330065858040966,0.0,-0.0015821830835193395,0.053192663556327534
Gemma4-E4B,17,1.0,ridge,10,1.0,1.0,0.0,0.002298003237147128,0.002298003237147128,0.0,1.2539801001548767,0.053174239103220444
Gemma4-E4B,17,1.0,random,10,1.0,1.0,0.0,0.010734259498587796,0.010734259498587796,0.0,0.0016573058906942605,0.05319451020311537
Gemma4-E4B,18,-1.0,ridge,10,1.0,1.0,0.0,-0.0006342875526432312,0.0006342875526432312,0.0,-1.1872638702392577,0.05434264955214396
Gemma4-E4B,18,-1.0,random,10,1.0,1.0,0.0,0.010583972803236197,-0.010583972803236197,0.0,-0.0019433986279182136,0.054234791206026124
Gemma4-E4B,18,1.0,ridge,10,1.0,1.0,0.0,0.0023955665047241228,0.0023955665047241228,0.0,1.1874329090118407,0.0543438439375747
Gemma4-E4B,18,1.0,random,10,1.0,1.0,0.0,-0.035455269274222975,-0.035455269274222975,0.0,0.001972111500799656,0.05423467827463955
Gemma4-E4B,19,-1.0,ridge,10,1.0,1.0,0.0,0.001141073042392904,-0.001141073042392904,0.0,-0.9870313704013824,0.04897493935384831
Gemma4-E4B,19,-1.0,random,10,1.0,1.0,0.0,-0.04507996031982131,0.04507996031982131,0.0,-0.0003557746997103095,0.049061417788592944
Gemma4-E4B,19,1.0,ridge,10,1.0,1.0,0.0,0.0019628836973072604,0.0019628836973072604,0.0,0.9869452893733979,0.04897795194875783
Gemma4-E4B,19,1.0,random,10,1.0,1.0,0.0,0.006987398794315825,0.006987398794315825,0.0,0.00038417293690145015,0.04905968936954016
Gemma4-E4B,20,-1.0,ridge,10,1.0,1.0,0.0,-0.00010164055988028941,0.00010164055988028941,0.0,-0.9375154733657837,0.043760176560655874
Gemma4-E4B,20,-1.0,random,10,1.0,1.0,0.0,-0.008233767093638145,0.008233767093638145,0.0,-0.0006353345699608326,0.04376288748022107
Gemma4-E4B,20,1.0,ridge,10,1.0,1.0,0.0,-0.00028348820541053145,-0.00028348820541053145,0.0,0.9372649490833282,0.04376079952596744
Gemma4-E4B,20,1.0,random,10,1.0,1.0,0.0,0.0020675834651749715,0.0020675834651749715,0.0,0.0005594701506197453,0.04376324620181493
Gemma4-E4B,21,-1.0,ridge,10,1.0,1.0,0.0,0.0007775301606169016,-0.0007775301606169016,0.0,-0.9411903440952301,0.039852133256596624
Gemma4-E4B,21,-1.0,random,10,1.0,1.0,0.0,-0.03013701439939309,0.03013701439939309,0.0,0.00019507480319589377,0.03985686858993674
Gemma4-E4B,21,1.0,ridge,10,1.0,1.0,0.0,0.0023358567982411315,0.0023358567982411315,0.0,0.9411500632762909,0.03985442903757689
Gemma4-E4B,21,1.0,random,10,1.0,1.0,0.0,-0.01348584769266048,-0.01348584769266048,0.0,-9.277270874008536e-05,0.03985578511322506
Gemma4-E4B,22,-1.0,ridge,10,1.0,1.0,0.0,-0.0010600622680038362,0.0010600622680038362,0.0,-1.1659315943717956,0.054827072686482146
Gemma4-E4B,22,-1.0,random,10,1.0,1.0,0.0,-0.010832531149366664,0.010832531149366664,0.0,0.0010903293266892433,0.05480205640007348
Gemma4-E4B,22,1.0,ridge,10,1.0,1.0,0.0,0.0011339591014851713,0.0011339591014851713,0.0,1.166193151473999,0.05483054987732324
Gemma4-E4B,22,1.0,random,10,1.0,1.0,0.0,0.005134934414060721,0.005134934414060721,0.0,-0.0010646275710314511,0.054800053385330685
Gemma4-E4B,23,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.1771027445793152,0.05306466570578644
Gemma4-E4B,23,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0008820750750601292,0.05308106345061055
Gemma4-E4B,23,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.1769777894020081,0.053063272024239716
Gemma4-E4B,23,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0008143477141857147,0.05307951340085498
Gemma4-E4B,24,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.2375446796417235,0.04158142863554269
Gemma4-E4B,24,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00028497083112597463,0.04151225648455914
Gemma4-E4B,24,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.237423825263977,0.04158518062806425
Gemma4-E4B,24,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.00028577372431755067,0.04150996493869674
Gemma4-E4B,25,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.0969510436058045,0.03559231235962989
Gemma4-E4B,25,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0006690844893455505,0.03550158599400471
Gemma4-E4B,25,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.097435986995697,0.03559808197154934
Gemma4-E4B,25,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0007002184167504311,0.03550380989098384
Gemma4-E4B,26,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.032109260559082,0.03121714219848253
Gemma4-E4B,26,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.002127720508724451,0.03108731074839881
Gemma4-E4B,26,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.031954574584961,0.031217230148274665
Gemma4-E4B,26,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.002059619501233101,0.031087111393878673
Gemma4-E4B,27,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.017981970310211,0.03192704188361191
Gemma4-E4B,27,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.005627398286014796,0.032055794275180696
Gemma4-E4B,27,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0182908535003663,0.0319331388922094
Gemma4-E4B,27,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.005568303912878036,0.03205467631964138
Gemma4-E4B,28,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.0746384739875794,0.035108230603324256
Gemma4-E4B,28,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.009767239075154066,0.0349588381473597
Gemma4-E4B,28,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0747197031974793,0.035108041082064036
Gemma4-E4B,28,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.009870694205164909,0.03495690568169514
Gemma4-E4B,29,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.0092493891716003,0.04237533378312152
Gemma4-E4B,29,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0026682792929932477,0.04238686378140787
Gemma4-E4B,29,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0086761355400085,0.042368054784484285
Gemma4-E4B,29,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0029078432358801364,0.04238980548927966
Gemma4-E4B,30,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.9557905793190002,0.04050131580009867
Gemma4-E4B,30,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.008795142360031604,0.04042397788272961
Gemma4-E4B,30,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.9560450553894043,0.040504369287133836
Gemma4-E4B,30,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00886855022981763,0.04042137545507558
Gemma4-E4B,31,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.9793201804161071,0.03799417401229999
Gemma4-E4B,31,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.008163312543183565,0.03787819856108428
Gemma4-E4B,31,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.9792848408222199,0.03799778126858301
Gemma4-E4B,31,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.008225640375167131,0.0378815287630629
Gemma4-E4B,32,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.0119049549102783,0.03382611418107761
Gemma4-E4B,32,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0004586544586345553,0.033852603534503645
Gemma4-E4B,32,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0116958498954773,0.033826476764219564
Gemma4-E4B,32,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0003607854479923844,0.033850915128359985
Gemma4-E4B,33,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.0543143272399902,0.025745777233522983
Gemma4-E4B,33,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00020024729892611503,0.02574425224428078
Gemma4-E4B,33,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0542124271392823,0.025744966816258385
Gemma4-E4B,33,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.00028154309839010236,0.02574451293829092
Gemma4-E4B,34,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.0304418802261353,0.02226025913949172
Gemma4-E4B,34,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0017748913262039423,0.022259705195895894
Gemma4-E4B,34,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.030287516117096,0.022258148776722858
Gemma4-E4B,34,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0015455074608325958,0.02225911518572448
Gemma4-E4B,35,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.8402326464653015,0.018282795371003236
Gemma4-E4B,35,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00017211297526955604,0.018293428727766403
Gemma4-E4B,35,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.8402841866016388,0.01828494104843994
Gemma4-E4B,35,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.00012455349788069724,0.0182944928459264
Gemma4-E4B,36,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.8630833208560944,0.01779166626024182
Gemma4-E4B,36,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0020504117477685214,0.01780582339092442
Gemma4-E4B,36,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.8628494083881378,0.017790636719217143
Gemma4-E4B,36,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0020473935874179006,0.017806096250903906
Gemma4-E4B,37,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.7855955541133881,0.016560997540806047
Gemma4-E4B,37,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0006772206164896488,0.016567665179053455
Gemma4-E4B,37,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.7854495763778686,0.016560588405441605
Gemma4-E4B,37,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0005408040713518858,0.016567818003120894
Gemma4-E4B,38,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.7083519279956818,0.015341685494744156
Gemma4-E4B,38,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00038271897938102484,0.015389913437541846
Gemma4-E4B,38,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.7084655404090882,0.015341997046543288
Gemma4-E4B,38,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.00043345242738723755,0.01538906819728093
Gemma4-E4B,39,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.7215267181396484,0.016259393065027543
Gemma4-E4B,39,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00039203627966344357,0.016273279167137725
Gemma4-E4B,39,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.7215746462345123,0.0162598904184781
Gemma4-E4B,39,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.00036171600222587583,0.016273473268431482
Gemma4-E4B,40,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.7903697609901428,0.01824557303293279
Gemma4-E4B,40,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0006566882133483887,0.018248073991375503
Gemma4-E4B,40,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,0.790431547164917,0.018242867967213538
Gemma4-E4B,40,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0006208450999110937,0.01824839339446757
Gemma4-E4B,41,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.2437064528465271,0.02083125823830412
Gemma4-E4B,41,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0023870264180004598,0.020875259384961906
Gemma4-E4B,41,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.244118058681488,0.020831837737837044
Gemma4-E4B,41,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.002249267278239131,0.020875534945188432
